evidence_id,source_layer,work_title,edition,volume_or_chapter,locator,person_refs,event_ref,primary_actor,subject_of_claim,coding_label,excerpt_zh,excerpt_type,translation_status,checksum_sha256_12,extraction_reviewer,review_status,confidence,ambiguity_note
HA-J54-P2,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 annotation block,paragraph inside 〈〉 bracket in Zhou Yu biography,PERSON-SUNQUAN;PERSON-ZHOUYU,BATTLE-CHIBI-001,孫權,周瑜,peer_praise,"公瑾文武籌略，萬人之英，顧其器量廣大，恐不久為人臣耳。",short_permitted_excerpt,original_zh_only_no_translation_provided,b55e9d0f7245,R1 (single coder),extracted_not_double_coded,medium,"Occurs in a farewell-banquet anecdote inside the same long annotation block as HA-J54-P1/P3; block boundaries not independently re-verified against a critical edition."
HA-J54-P3,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 annotation block,paragraph inside 〈〉 bracket in Zhou Yu biography,PERSON-SUNQUAN;PERSON-ZHOUYU,BATTLE-CHIBI-001,孫權,周瑜,leadership_attribution_acknowledgment,"孤非周公瑾，不帝矣。",short_permitted_excerpt,original_zh_only_no_translation_provided,89702eb3ce31,R1 (single coder),extracted_not_double_coded,high,"Direct, unambiguous credit statement; said after Zhou Yu's death per the same annotation block."
RM-C049-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhou Yu's collapse and diagnosis scene,PERSON-ZHOUYU;PERSON-ZHUGELIANG;PERSON-LUSU,BATTLE-CHIBI-001,周瑜,,psychosomatic_strategic_anxiety,"瑜聞失色，乃作呻吟之聲...都督心中似覺煩積否？",short_permitted_excerpt,project_paraphrase_ellipsis_marked,6441f32cf2ac,R1 (single coder),extracted_not_double_coded,high,"Illness is coded as a ROMANCE narrative device (anxiety over the unresolved fire-attack plan), never as a real clinical diagnosis, per coding_manual.md."
RM-C049-P2,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph with Zhuge Liang's 16-character note to Zhou Yu,PERSON-ZHUGELIANG;PERSON-ZHOUYU,BATTLE-CHIBI-001,諸葛亮,,supernatural_attribution,"欲破曹公，宜用火攻；萬事俱備，只欠東風。",short_permitted_excerpt,original_zh_only_no_translation_provided,1f52dd7e0000,R1 (single coder),extracted_not_double_coded,high,"Immediately followed in-text by Zhuge Liang's claim to ritually summon wind — ROMANCE-exclusive fictional device; must never be presented as a HISTORY_BASE claim."
RM-C049-P3,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhou Yu ordering Zhuge Liang's assassination,PERSON-ZHOUYU;PERSON-ZHUGELIANG,BATTLE-CHIBI-001,周瑜,諸葛亮,rival_elimination_attempt,"此人有奪天地造化之法，鬼神不測之術！若留此人，乃東吳禍根也。及早殺卻，免生他日之憂。",short_permitted_excerpt,original_zh_only_no_translation_provided,233b15e19da3,R1 (single coder),extracted_not_double_coded,high,"Sharp characterization divergence from HB-J47-P1's collegial Zhou Yu; do not average these into one 'trustworthiness' score without noting the source-layer split."
RM-C049-P4,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhuge Liang's escape,PERSON-ZHUGELIANG;PERSON-ZHAOYUN,BATTLE-CHIBI-001,諸葛亮,,foresight_escape_planning,"吾已料定都督不能容我，必來加害，預先教趙子龍來相接。",short_permitted_excerpt,original_zh_only_no_translation_provided,54537b4d43ab,R1 (single coder),extracted_not_double_coded,high,"Zhao Yun (趙雲) is a supporting figure, not in the 5-person cast."
RM-C049-P5,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhuge Liang assigning Guan Yu to Huarong Road,PERSON-ZHUGELIANG;PERSON-GUANYU;PERSON-CAOCAO,BATTLE-CHIBI-001,諸葛亮,關羽,strategic_manipulation_of_subordinate,"昔日曹操待足下甚厚，足下當有以報之。今日操兵敗，必走華容道。若令足下去時，必然放他過去。",short_permitted_excerpt,original_zh_only_no_translation_provided,bac0716bf91b,R1 (single coder),extracted_not_double_coded,medium,"Guan Yu (關羽) is a supporting figure recorded because the passage directly involves Cao Cao (cast member) as the predicted outcome subject."
RM-C049-P6,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhou Yu's mock execution of Cai He before dispatching Huang Gai,PERSON-ZHOUYU;PERSON-HUANGGAI,BATTLE-CHIBI-001,周瑜,,deceptive_communication,"汝是何等人，敢來詐降！吾今缺少福物祭旗，願借你首級。",short_permitted_excerpt,original_zh_only_no_translation_provided,049eed1714e5,R1 (single coder),extracted_not_double_coded,high,"Dramatized companion scene to HA-J54-P1's Huang Gai letter; useful direct HISTORY_ANNOTATION-vs-ROMANCE comparison pair for the same underlying deception tactic."
RM-C050-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Cao Cao pleading with Guan Yu at Huarong Road,PERSON-CAOCAO;PERSON-GUANYU,BATTLE-CHIBI-001,曹操,,appeal_to_past_favor,"曹操兵敗勢危，到此無路，望將軍以昔日之情為重。",short_permitted_excerpt,original_zh_only_no_translation_provided,7b6337fe4ad6,R1 (single coder),extracted_not_double_coded,high,"Guan Yu is a supporting figure recorded because Cao Cao (cast member) is the primary actor."
RM-C050-P2,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Guan Yu releasing Cao Cao,PERSON-GUANYU;PERSON-CAOCAO,BATTLE-CHIBI-001,關羽,曹操,loyalty_override_duty,"雲長是個義重如山之人...於是把馬頭勒回，謂眾軍曰：四散擺開。",short_permitted_excerpt,project_paraphrase_ellipsis_marked,de2aaa155427,R1 (single coder),extracted_not_double_coded,high,"Recorded with subject_of_claim=曹操 (the party released) even though the primary actor (關羽) is outside the 5-person cast, since the outcome directly determines Cao Cao's survival."
RM-C050-P3,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Cao Cao mourning Guo Jia,PERSON-CAOCAO;PERSON-GUOJIA,BATTLE-CHIBI-001,曹操,,leadership_self_reflection_regret,"吾哭郭奉孝耳！若奉孝在，決不使吾有此大失也！",short_permitted_excerpt,original_zh_only_no_translation_provided,7ef957969704,R1 (single coder),extracted_not_double_coded,high,"Sharp contrast with HB-J54-P2 (same person, Cao Cao, denying Zhou Yu credit / blaming disease in HISTORY_BASE) versus this ROMANCE passage's explicit self-blame — a strong candidate divergence pair for analysis_criteria.md."
RM-C050-P4,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十回,paragraph on Zhuge Liang's astrological justification,PERSON-ZHUGELIANG;PERSON-GUANYU;PERSON-CAOCAO,BATTLE-CHIBI-001,諸葛亮,,fatalistic_strategic_foresight,"亮夜觀乾象，操賊未合身亡。留這人情，教雲長做了，亦是美事。",short_permitted_excerpt,original_zh_only_no_translation_provided,0973e5978bf0,R1 (single coder),extracted_not_double_coded,high,"Second ROMANCE-exclusive supernatural-attribution instance for Zhuge Liang in this slice (see also RM-C049-P2); reinforces the HB-J35-P1 vs ROMANCE divergence on Zhuge Liang's Red Cliffs role."
HA-J54-P4,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 annotation block,"paragraph inside bracket, on the resistance-decision credit dispute",PERSON-LUSU;PERSON-ZHOUYU;PERSON-SUNQUAN,BATTLE-CHIBI-001,裴松之(commentator),魯肅,source_conflict_note,臣松之以為建計拒曹公，實始魯肅……本傳直云，權延見群下，問以計策，瑜擺撥眾人之議，獨言抗拒之計，了不云肅先有謀。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,968b616ae46a,Expansion pass (single coder),extracted_not_double_coded,high,"Direct HISTORY_ANNOTATION challenge to the main HISTORY_BASE biography credit attribution (compare HB-J47-P1, which credits Zhou Yu and Lu Su jointly without ordering). Strong divergence/credit-conflict candidate. D-017: single-coder pass, not human-validated."
HA-J54-P5,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1),卷54 annotation block,"paragraph inside bracket, disputing an account of Lu Su role at the resistance decision",PERSON-LUSU;PERSON-SUNQUAN,BATTLE-CHIBI-001,孫盛(commentator),魯肅,source_conflict_note,孫盛曰：吳書及江表傳，魯肅一見孫權便說拒曹公而論帝王之略……又是時勸迎者眾，而云獨欲斬肅，非其論也。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,7c53aa733293,Expansion pass (single coder),extracted_not_double_coded,high,"Second independent source-conflict case regarding Lu Su's exact role at the resistance decision point, reinforcing that his contribution is historiographically contested. D-017: single-coder pass, not human-validated."
HA-J32-P2,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 江表傳),卷32 先主傳 annotation block,"paragraph inside bracket, on Lu Su mission to persuade Liu Bei to ally with Sun Quan",PERSON-LUSU;PERSON-LIUBEI,BATTLE-CHIBI-001,魯肅,劉備,alliance_persuasion,肅曰：孫討虜聰明仁惠，敬賢禮士，江表英豪，咸歸附之……豈足託乎？備大喜，進住鄂縣，即遣諸葛亮隨肅詣孫權，結同盟誓。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,b706f11424b2,Expansion pass (single coder),extracted_not_double_coded,high,"HISTORY_ANNOTATION (Jiangbiao Zhuan) frames Lu Su's persuasion as the trigger for the alliance; ROMANCE's account instead centers Zhuge Liang's own diplomatic mission (see RM-C049 rows) - a source-layer emphasis difference, not a direct contradiction. D-017: single-coder pass, not human-validated."
HA-J35-P2,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited: 袁子),卷35 諸葛亮傳 annotation block,"paragraph inside bracket, on Guan Yu loyalty compared to Zhuge Liang",PERSON-GUANYU;PERSON-CAOCAO;PERSON-ZHUGELIANG,BATTLE-CHIBI-001,裴松之(commentator),關羽,peer_praise,臣松之以為……關羽為曹公所獲，遇之甚厚，可謂能盡其用矣，猶義不背本，曾謂孔明之不若雲長乎！,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,f04058af1145,Expansion pass (single coder),extracted_not_double_coded,high,"Commentator explicitly ranks Guan Yu loyalty alongside/above Zhuge Liang - a rare direct HISTORY_ANNOTATION cross-person comparison; a rhetorical point by one commentator, not an objective ranking. D-017: single-coder pass, not human-validated."
HA-J54-P6,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 江表傳),卷54 annotation block,"paragraph inside bracket, Zhou Yu deathbed letter recommending a successor",PERSON-ZHOUYU;PERSON-LUSU,BATTLE-CHIBI-001,周瑜,魯肅,peer_praise,《江表傳》載：初瑜疾困，與權箋曰……魯肅忠烈，臨事不苟，可以代瑜。人之將死，其言也善，儻或可採，瑜死不朽矣。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,61b29cf556d0,Expansion pass (single coder),extracted_not_double_coded,high,"Companion piece to HA-J54-P3 - together these show a mutual-endorsement pattern within the Sun Quan leadership circle. D-017: single-coder pass, not human-validated."
RM-C049-P7,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Zhao Yun intercepting pursuers during Zhuge Liang extraction,PERSON-ZHAOYUN;PERSON-ZHUGELIANG,BATTLE-CHIBI-001,趙雲,,combat_skill_display,趙雲拈弓搭箭，立於船尾大叫曰：吾乃常山趙子龍也！……箭到處，射斷徐盛船上篷索。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,c42b46fed63a,Expansion pass (single coder),extracted_not_double_coded,high,"ROMANCE dramatizes Zhao Yun archery skill during Zhuge Liang extraction; no HISTORY_BASE/HISTORY_ANNOTATION account of this specific episode exists in this corpus - a coverage gap, not a contradiction. D-017: single-coder pass, not human-validated."
RM-C049-P8,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第四十九回,paragraph on Huang Gai fire-attack charge and wounding,PERSON-HUANGGAI,BATTLE-CHIBI-001,黃蓋,,combat_skill_display,黃蓋在火光中，高聲大叫：曹賊休走！黃蓋在此！……正中肩窩，翻身落水。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,e8d7db250590,Expansion pass (single coder),extracted_not_double_coded,high,"ROMANCE gives Huang Gai a dramatic near-death climax (shot by Zhang Liao, falls into the river) entirely absent from HISTORY_BASE/HISTORY_ANNOTATION, which record only his fire-attack proposal (see HB-J54-P1), not his personal combat role or wounding - a romance-elaboration gap. D-017: single-coder pass, not human-validated."
RM-C052-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十二回,paragraph on Zhao Yun single combat with Chen Ying during the Guiyang campaign,PERSON-ZHAOYUN,BATTLE-CHIBI-001,趙雲,,combat_skill_display,趙雲挺槍出馬……兩馬相交，戰到四五合，陳應料敵不過……雲將陳應活捉過馬。,original_zh_only_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,402c89bbb5d6,Expansion pass (single coder),extracted_not_double_coded,medium,"Post-battle Jingzhou-consolidation campaign (hui 52) - still within D1 approved hui 49-57 ingestion window but further removed from the battle itself than most other rows; included as part of the immediate Chibi-aftermath territorial arc, not the battle proper. D-017: single-coder pass, not human-validated."
HA-J55-P1,HISTORY_ANNOTATION,三國志裴松之注,zh.wikisource.org crawl (edition_ref: TBD by D1; cited work: 吳書),卷55 程黃韓蔣周陳董甘淩徐潘丁傳,"paragraph inside bracket in 黃蓋傳, on his Red Cliffs wound",PERSON-HUANGGAI,BATTLE-CHIBI-001,黃蓋,,military_setback_attribution,赤壁之役，蓋爲流矢所中，時寒墮水，爲吳軍人所得，不知其蓋也……蓋自彊以一聲呼韓當，當聞之，曰：「此公覆聲也。」向之垂涕，解易其衣，遂以得生。,project_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,84809fd36a28,Expansion pass 2 (single coder),extracted_not_double_coded,high,"Huang Gai's own biography's annotation records him wounded by a stray arrow and nearly dying of cold/drowning after the fire attack, unrecognized until he calls out by voice to a fellow officer (韓當). Real HISTORY_ANNOTATION counterpart to RM-C049-P8's dramatized wounding scene -- candidate new divergence case, not yet added to compute_chibi_result.py's divergence_cases (flagged for orchestrator/next pass). D-017: single-coder, not human-validated."
HB-J55-P1,HISTORY_BASE,三國志,zh.wikisource.org crawl (edition_ref: TBD by D1),卷55 程黃韓蔣周陳董甘淩徐潘丁傳(甘寧傳),paragraph on Lu Su's defense line against Guan Yu at Yiyang,PERSON-LUSU;PERSON-GUANYU,BATTLE-CHIBI-001,魯肅,關羽,decisive_leadership_under_dissent,後隨魯肅鎮益陽，拒關羽。羽號有三萬人，自擇選銳士五千人，投縣上流十餘里淺瀨，云欲夜涉渡……羽聞之，住不渡，而結柴營，今遂名此處爲關羽瀨。,project_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,17a2e45c705b,Expansion pass 2 (single coder),extracted_not_double_coded,medium,"Real historical account (from 甘寧's biography, not 魯肅's own) of the post-Chibi Jingzhou standoff between Lu Su and Guan Yu at Yiyang -- Guan Yu's forces are deterred from crossing, a place-name origin story results. Post-Chibi aftermath, not the battle itself. primary_actor attribution is approximate (甘寧 is the biography's real subject; coded here under 魯肅 as the commanding officer of the described defense). D-017: single-coder, not human-validated."
RM-C051-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十一回,paragraph on Zhou Yu suspecting Liu Bei's designs on Nanjun,PERSON-ZHOUYU;PERSON-LIUBEI;PERSON-LUSU,BATTLE-CHIBI-001,周瑜,劉備,rival_elimination_attempt,劉備屯兵油江，必有取南郡之意。我等費了許多軍馬，用了許多錢糧，目下南郡唾手可得；彼等心懷不仁，要就現成，須放著周瑜不死！,original_zh_only_no_translation_provided,original_zh_only_no_translation_provided,f3d82449380e,Expansion pass 2 (single coder),extracted_not_double_coded,high,"Opens the Nanjun/Jingzhou contest arc immediately following Chibi -- Zhou Yu reacts to Liu Bei's camp as a rival for the spoils, not just an ally. D-017: single-coder, not human-validated."
RM-C051-P2,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十一回,paragraph on Zhuge Liang's plan to let Zhou Yu fight first,PERSON-ZHUGELIANG;PERSON-LIUBEI;PERSON-ZHOUYU,BATTLE-CHIBI-001,諸葛亮,周瑜,strategic_manipulation_of_subordinate,不須主公憂慮。儘著周瑜去廝殺，早晚教主公在南郡城中高坐。,original_zh_only_no_translation_provided,original_zh_only_no_translation_provided,c6a486ca67c0,Expansion pass 2 (single coder),extracted_not_double_coded,high,"Zhuge Liang plans to let Zhou Yu absorb the cost of fighting Cao Ren for Nanjun, then take the city out from under him -- 周瑜 is a rival here, not a subordinate, so this stretches the label's literal 'subordinate' framing; kept for lack of a closer existing label, flagged for future label review. D-017: single-coder, not human-validated."
RM-C051-P3,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十一回,paragraph on Zhou Yu wounded by a crossbow bolt attacking Nanjun,PERSON-ZHOUYU,BATTLE-CHIBI-001,周瑜,,combat_skill_display,瑜急勒馬回時，被一弩箭，正射中左肋，翻身落馬。牛金從城中殺出，來捉周瑜。徐盛、丁奉二人捨命救去。,original_zh_only_no_translation_provided,original_zh_only_no_translation_provided,66c56ff0bc71,Expansion pass 2 (single coder),extracted_not_double_coded,high,"Zhou Yu personally leads the charge into Nanjun and is shot; this wound recurs/reopens through hui51-57 (see RM-C057-P1/P2, his eventual death). ROMANCE-exclusive dramatization -- no HISTORY_BASE/HISTORY_ANNOTATION account of Zhou Yu being wounded at Nanjun exists in this corpus, a coverage gap not a contradiction. D-017: single-coder, not human-validated."
RM-C051-P4,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十一回,paragraph on Zhuge Liang seizing Nanjun/Jingzhou/Xiangyang via forged tally,PERSON-ZHUGELIANG;PERSON-ZHOUYU;PERSON-GUANYU,BATTLE-CHIBI-001,諸葛亮,周瑜,deceptive_communication,諸葛亮自得了南郡，遂用兵符，星夜詐調荊州守城軍馬來救，卻教張飛襲了荊州……卻教雲長襲取了襄陽。二處城池，全不費力，皆屬劉玄德矣。,project_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,a9bcec692f27,Expansion pass 2 (single coder),extracted_not_double_coded,high,"Zhuge Liang uses a captured military tally to impersonate authorized orders and seize three cities while Zhou Yu is fighting Cao Ren for Nanjun -- a documented deception against a rival army, fits deceptive_communication's definition even though the target is a nominal ally's forces, not an enemy. Directly causes Zhou Yu's wound to reopen (RM-C051-P3 -> next chapters). D-017: single-coder, not human-validated."
RM-C053-P1,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十三回,paragraph on Guan Yu refusing extra troops against Changsha,PERSON-GUANYU;PERSON-LIUBEI,BATTLE-CHIBI-001,關羽,,decisive_leadership_under_dissent,量一老卒，何足道哉！關某不須用三千軍，只消本部下五百名校刀手，決定斬黃忠、韓玄之首，來獻麾下。,original_zh_only_no_translation_provided,original_zh_only_no_translation_provided,ed15c615408c,Expansion pass 2 (single coder),extracted_not_double_coded,high,"Guan Yu insists on a small force against Liu Bei's own caution -- fits the dissent-against-caution pattern of the label even though the 'dissent' here is Guan Yu overruling Liu Bei's worry rather than a group of advisors. Post-Chibi Jingzhou-consolidation campaign (Changsha), not the battle itself. D-017: single-coder, not human-validated."
RM-C053-P2,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十三回,"paragraph on the Guan Yu vs Huang Zhong duel, 100+ rounds undecided",PERSON-GUANYU,BATTLE-CHIBI-001,關羽,,combat_skill_display,兩馬交鋒，戰一百餘合，不分勝負……老將黃忠，名不虛傳：鬥一百合，全無破綻。,project_paraphrase_ellipsis_marked,original_zh_only_paraphrase_ellipsis_marked,6a84c7d8ca97,Expansion pass 2 (single coder),extracted_not_double_coded,high,"No HISTORY_BASE/HISTORY_ANNOTATION account of this duel exists in this corpus -- Huang Zhong's own historical role at Changsha is not covered by our current juan set, so this is a coverage gap, not a contradiction. D-017: single-coder, not human-validated."
RM-C053-P3,ROMANCE,三國演義,zh.wikisource.org crawl (edition_ref: TBD by D1),第五十三回,paragraph on Guan Yu sparing Huang Zhong after his horse stumbles,PERSON-GUANYU,BATTLE-CHIBI-001,關羽,,reciprocal_combat_mercy,雲長急回馬，雙手舉刀猛喝曰：「我且饒你性命！快換馬來廝殺！」,original_zh_only_no_translation_provided,original_zh_only_no_translation_provided,e963111948d3,Expansion pass 2 (single coder),extracted_not_double_coded,high,"New label reciprocal_combat_mercy introduced for this row and RM-C053-P4 (see research/coding_manual.md addendum) -- neither appeal_to_past_favor nor loyalty_override_duty fits a spontaneous in-combat mercy with no prior personal debt invoked. D-017: single-coder, not human-validated."
